topic,document_types,weight
basic_requests,email + notice,5
basic_requests,email + memo,4
basic_requests,email + article,1
basic_requests,email + advertisement,1
basic_requests,email + internal_chat,3
basic_requests,email + schedule,5
basic_requests,email + customer_support,1
basic_requests,email + form,3
basic_requests,email + instruction,1
basic_requests,notice + memo,1
basic_requests,notice + article,1
basic_requests,notice + advertisement,1
basic_requests,notice + internal_chat,1
basic_requests,notice + schedule,4
basic_requests,notice + customer_support,1
basic_requests,notice + form,3
basic_requests,notice + instruction,2
basic_requests,memo + article,1
basic_requests,memo + advertisement,1
basic_requests,memo + internal_chat,3
basic_requests,memo + schedule,1
basic_requests,memo + customer_support,1
basic_requests,memo + form,1
basic_requests,memo + instruction,1
basic_requests,article + advertisement,1
basic_requests,article + internal_chat,1
basic_requests,article + schedule,1
basic_requests,article + customer_support,1
basic_requests,article + form,1
basic_requests,article + instruction,1
basic_requests,advertisement + internal_chat,1
basic_requests,advertisement + schedule,1
basic_requests,advertisement + customer_support,1
basic_requests,advertisement + form,1
basic_requests,advertisement + instruction,1
basic_requests,internal_chat + schedule,1
basic_requests,internal_chat + customer_support,1
basic_requests,internal_chat + form,1
basic_requests,internal_chat + instruction,1
basic_requests,schedule + customer_support,1
basic_requests,schedule + form,1
basic_requests,schedule + instruction,1
basic_requests,customer_support + form,1
basic_requests,customer_support + instruction,1
basic_requests,form + instruction,2
business_trends,email + notice,5
business_trends,email + memo,4
business_trends,email + article,1
business_trends,email + advertisement,1
business_trends,email + internal_chat,3
business_trends,email + schedule,5
business_trends,email + customer_support,1
business_trends,email + form,3
business_trends,email + instruction,1
business_trends,notice + memo,1
business_trends,notice + article,1
business_trends,notice + advertisement,1
business_trends,notice + internal_chat,1
business_trends,notice + schedule,4
business_trends,notice + customer_support,1
business_trends,notice + form,3
business_trends,notice + instruction,2
business_trends,memo + article,1
business_trends,memo + advertisement,1
business_trends,memo + internal_chat,3
business_trends,memo + schedule,1
business_trends,memo + customer_support,1
business_trends,memo + form,1
business_trends,memo + instruction,1
business_trends,article + advertisement,1
business_trends,article + internal_chat,1
business_trends,article + schedule,1
business_trends,article + customer_support,1
business_trends,article + form,1
business_trends,article + instruction,1
business_trends,advertisement + internal_chat,1
business_trends,advertisement + schedule,1
business_trends,advertisement + customer_support,1
business_trends,advertisement + form,1
business_trends,advertisement + instruction,1
business_trends,internal_chat + schedule,1
business_trends,internal_chat + customer_support,1
business_trends,internal_chat + form,1
business_trends,internal_chat + instruction,1
business_trends,schedule + customer_support,1
business_trends,schedule + form,1
business_trends,schedule + instruction,1
business_trends,customer_support + form,1
business_trends,customer_support + instruction,1
business_trends,form + instruction,2
customer_complaints,email + notice,5
customer_complaints,email + memo,4
customer_complaints,email + article,1
customer_complaints,email + advertisement,1
customer_complaints,email + internal_chat,3
customer_complaints,email + schedule,5
customer_complaints,email + customer_support,1
customer_complaints,email + form,3
customer_complaints,email + instruction,1
customer_complaints,notice + memo,1
customer_complaints,notice + article,1
customer_complaints,notice + advertisement,1
customer_complaints,notice + internal_chat,1
customer_complaints,notice + schedule,4
customer_complaints,notice + customer_support,1
customer_complaints,notice + form,3
customer_complaints,notice + instruction,2
customer_complaints,memo + article,1
customer_complaints,memo + advertisement,1
customer_complaints,memo + internal_chat,3
customer_complaints,memo + schedule,1
customer_complaints,memo + customer_support,1
customer_complaints,memo + form,1
customer_complaints,memo + instruction,1
customer_complaints,article + advertisement,1
customer_complaints,article + internal_chat,1
customer_complaints,article + schedule,1
customer_complaints,article + customer_support,1
customer_complaints,article + form,1
customer_complaints,article + instruction,1
customer_complaints,advertisement + internal_chat,1
customer_complaints,advertisement + schedule,1
customer_complaints,advertisement + customer_support,1
customer_complaints,advertisement + form,1
customer_complaints,advertisement + instruction,1
customer_complaints,internal_chat + schedule,1
customer_complaints,internal_chat + customer_support,1
customer_complaints,internal_chat + form,1
customer_complaints,internal_chat + instruction,1
customer_complaints,schedule + customer_support,1
customer_complaints,schedule + form,1
customer_complaints,schedule + instruction,1
customer_complaints,customer_support + form,1
customer_complaints,customer_support + instruction,1
customer_complaints,form + instruction,2
customer_inquiries,email + notice,5
customer_inquiries,email + memo,4
customer_inquiries,email + article,1
customer_inquiries,email + advertisement,1
customer_inquiries,email + internal_chat,3
customer_inquiries,email + schedule,5
customer_inquiries,email + customer_support,1
customer_inquiries,email + form,3
customer_inquiries,email + instruction,1
customer_inquiries,notice + memo,1
customer_inquiries,notice + article,1
customer_inquiries,notice + advertisement,1
customer_inquiries,notice + internal_chat,1
